mod_id,type,unlocalized_key,guessed_id_UNVERIFIED,display_name
dragonsradiomod,tile,Radio,dragonsradiomod:radio,Radio
dragonsradiomod,tile,Speaker,dragonsradiomod:speaker,Speaker
dragonsradiomod,tile,DummySpeaker,dragonsradiomod:dummy_speaker,Dummy Speaker
dragonsradiomod,item,DragonsRadioTuner,dragonsradiomod:dragons_radio_tuner,Dragon's Radio Tuner
hielements,item,ItemGraviChest1LVL,hielements:item_gravi_chest1_lvl,Ametrine Gravitation Chestplate
hielements,item,ItemGraviChest2LVL,hielements:item_gravi_chest2_lvl,Fluorite Gravitation Chestplate
hielements,item,ItemGraviChest3LVL,hielements:item_gravi_chest3_lvl,Chrysolite Gravitation Chestplate
hielements,item,cluster_ice,hielements:cluster_ice,Ice Cluster
hielements,item,cluster_jungle,hielements:cluster_jungle,Jungle Cluster
hielements,item,cluster_fire,hielements:cluster_fire,Molten Cluster
hielements,item,cluster_divine,hielements:cluster_divine,Divine Cluster
hielements,item,cluster_shadow,hielements:cluster_shadow,Shadow Cluster
hielements,item,piece,hielements:piece,Ancient Crafting Component
hielements,item,reinforced_superalloy,hielements:reinforced_superalloy,Reinforced Superalloy
hielements,tile,alloy_furnace,hielements:alloy_furnace,Alloy Furnace
hielements,tile,assembly_complex,hielements:assembly_complex,Assembly Workshop
hielements,tile,fisher,hielements:fisher,Auto-Fisher
hielements,tile,extruder,hielements:extruder,Igneous Extruder
hielements,tile,legendary_assembly_complex_nei,hielements:legendary_assembly_complex_nei,Legendary Assembly Complex
hielements,tile,legendary_assembly_complex,hielements:legendary_assembly_complex,Legendary Assembly Complex Core
hielements,tile,extraterrestrial_coverage,hielements:extraterrestrial_coverage,Assembly Complex Coverage
hielements,tile,extraterrestrial_glass,hielements:extraterrestrial_glass,Assembly Complex Glass
hielements,tile,extraterrestrial_basis,hielements:extraterrestrial_basis,Assembly Complex Basis
hielements,item,lead_ingot_alloyed_gold,hielements:lead_ingot_alloyed_gold,Gold-Alloyed Lead Ingot
hielements,item,lead_ingot_alloyed_copper,hielements:lead_ingot_alloyed_copper,Copper-Alloyed Lead Ingot
hielements,item,lead_ingot_alloyed_aluminum,hielements:lead_ingot_alloyed_aluminum,Aluminum-Alloyed Lead Ingot
hielements,item,steel_ingot_alloyed_gold,hielements:steel_ingot_alloyed_gold,Gold-Alloyed Steel Ingot
hielements,item,steel_ingot_alloyed_copper,hielements:steel_ingot_alloyed_copper,Copper-Alloyed Steel Ingot
hielements,item,steel_ingot_alloyed_aluminum,hielements:steel_ingot_alloyed_aluminum,Aluminum-Alloyed Steel Ingot
hielements,item,uranium_ingot_alloyed_bronze,hielements:uranium_ingot_alloyed_bronze,Bronze-Alloyed Uranium Ingot
hielements,item,uranium_ingot_alloyed_copper,hielements:uranium_ingot_alloyed_copper,Copper-Alloyed Uranium Ingot
hielements,item,iron_ingot_alloyed_tin,hielements:iron_ingot_alloyed_tin,Tin-Alloyed Iron Ingot
hielements,item,iron_ingot_alloyed_bronze,hielements:iron_ingot_alloyed_bronze,Bronze-Alloyed Iron Ingot
hielements,item,solar_core1,hielements:solar_core1,Solar Panel Core Tier 1
hielements,item,solar_core2,hielements:solar_core2,Solar Panel Core Tier 2
hielements,item,solar_core3,hielements:solar_core3,Solar Panel Core Tier 3
hielements,item,solar_core4,hielements:solar_core4,Solar Panel Core Tier 4
hielements,item,solar_core5,hielements:solar_core5,Solar Panel Core Tier 5
hielements,item,solar_core6,hielements:solar_core6,Solar Panel Core Tier 6
hielements,item,solar_core7,hielements:solar_core7,Solar Panel Core Tier 7
hielements,item,solar_core8,hielements:solar_core8,Solar Panel Core Tier 8
hielements,item,teleportation_core,hielements:teleportation_core,Teleportation Core
hielements,item,iron_crystal,hielements:iron_crystal,Iron Crystal
hielements,item,gold_crystal,hielements:gold_crystal,Gold Crystal
hielements,item,osmium_crystal,hielements:osmium_crystal,Osmium Crystal
hielements,item,copper_crystal,hielements:copper_crystal,Copper Crystal
hielements,item,tin_crystal,hielements:tin_crystal,Tin Crystal
hielements,item,silver_crystal,hielements:silver_crystal,Silver Crystal
hielements,item,lead_crystal,hielements:lead_crystal,Lead Crystal
hielements,item,enriched_alloy,hielements:enriched_alloy,Enriched Alloy
hielements,item,reinforced_alloy,hielements:reinforced_alloy,Reinforced Alloy
hielements,item,atomic_alloy,hielements:atomic_alloy,Atomic Alloy
hielements,item,basic_control_circuit,hielements:basic_control_circuit,Basic Control Circuit
hielements,item,advanced_control_circuit,hielements:advanced_control_circuit,Advanced Control Circuit
hielements,item,elite_control_circuit,hielements:elite_control_circuit,Elite Control Circuit
hielements,item,perfect_control_circuit,hielements:perfect_control_circuit,Perfect Control Circuit
hielements,item,compressed_redstone,hielements:compressed_redstone,Compressed Redstone
hielements,item,compressed_coal,hielements:compressed_coal,Compressed Coal
hielements,item,battery,hielements:battery,Battery
hielements,item,advanced_battery,hielements:advanced_battery,Advanced Battery
hielements,item,gas_electric_engine,hielements:gas_electric_engine,Gas-Electric Engine
hielements,item,singularity_gas_electric_engine,hielements:singularity_gas_electric_engine,Singularity Gas-Electric Engine
